Symbol,Name,Last,IV/HV,"Imp Vol","Long Term","Short Term","Med Term","Last Mth Signal","Last Wk Signal","Prev Signal",Signal
ZLH18,"Soybean Oil",31.78,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLF18,"Soybean Oil",32.93,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLZ17,"Soybean Oil",33.02,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLV17,"Soybean Oil",33.49,0,0.00%,Buy,Buy,Sell,Buy,Sell,Sell,Buy
ZLU17,"Soybean Oil",34.66,0,0.00%,Buy,Buy,Buy,Sell,Buy,Buy,Buy
ZLQ17,"Soybean Oil",32.98,0,0.00%,Buy,Sell,Sell,Buy,Buy,Buy,Hold
ZLN17,"Soybean Oil",33.06,0,0.00%,Hold,Buy,Buy,Hold,Buy,Buy,Buy
ZLK17,"Soybean Oil",32.63,0,0.00%,Sell,Buy,Sell,Sell,Buy,Sell,Hold
ZLH17,"Soybean Oil",31.85,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLF17,"Soybean Oil",35.37,0,0.00%,Buy,Buy,Buy,Buy,Sell,Buy,Buy
ZLZ16,"Soybean Oil",36.73,0,0.00%,Buy,Hold,Buy,Hold,Buy,Buy,Buy
ZLV16,"Soybean Oil",34.15,0,0.00%,Buy,Buy,Buy,Sell,Buy,Buy,Buy
ZLU16,"Soybean Oil",31.5,0,0.00%,Sell,Sell,Sell,Buy,Buy,Sell,Sell
ZLQ16,"Soybean Oil",31.9,0,0.00%,Sell,Buy,Buy,Sell,Sell,Buy,Buy
ZLN16,"Soybean Oil",31.12,0,0.00%,Sell,Hold,Sell,Sell,Sell,Sell,Sell
ZLK16,"Soybean Oil",32.17,0,0.00%,Buy,Sell,Sell,Buy,Sell,Sell,Sell
ZLH16,"Soybean Oil",32.25,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLF16,"Soybean Oil",29.68,0,0.00%,Buy,Sell,Buy,Buy,Sell,Hold,Buy
ZLZ15,"Soybean Oil",31.3,0,0.00%,Buy,Buy,Buy,Sell,Buy,Buy,Buy
ZLV15,"Soybean Oil",28.77,0,0.00%,Sell,Buy,Buy,Sell,Buy,Buy,Buy
ZLU15,"Soybean Oil",26.89,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLQ15,"Soybean Oil",28.78,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLN15,"Soybean Oil",32.32,0,0.00%,Buy,Sell,Sell,Buy,Sell,Sell,Sell
ZLK15,"Soybean Oil",33,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLH15,"Soybean Oil",30.19,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLF15,"Soybean Oil",32.57,0,0.00%,Sell,Sell,Sell,Sell,Buy,Sell,Sell
ZLZ14,"Soybean Oil",31.97,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLV14,"Soybean Oil",32.44,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLU14,"Soybean Oil",32.16,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLQ14,"Soybean Oil",33.6,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLN14,"Soybean Oil",36.75,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLK14,"Soybean Oil",41.19,0,0.00%,Buy,Sell,Sell,Buy,Sell,Sell,Sell
ZLH14,"Soybean Oil",42.02,0,0.00%,Buy,Hold,Buy,Buy,Buy,Buy,Buy
ZLF14,"Soybean Oil",37.4,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLZ13,"Soybean Oil",39.47,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLV13,"Soybean Oil",40.19,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLU13,"Soybean Oil",42.22,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLQ13,"Soybean Oil",42.37,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLN13,"Soybean Oil",46.09,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLK13,"Soybean Oil",49.26,0,0.00%,Sell,Buy,Sell,Sell,Sell,Sell,Sell
ZLH13,"Soybean Oil",49.09,0,0.00%,Hold,Sell,Sell,Hold,Sell,Sell,Sell
ZLF13,"Soybean Oil",50.17,0,0.00%,Sell,Buy,Buy,Sell,Hold,Sell,Buy
ZLZ12,"Soybean Oil",49.63,0,0.00%,Sell,Sell,Sell,Sell,Buy,Sell,Sell
ZLV12,"Soybean Oil",49.89,0,0.00%,Sell,Sell,Sell,Buy,Sell,Sell,Sell
ZLU12,"Soybean Oil",56.64,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLQ12,"Soybean Oil",52.83,0,0.00%,Sell,Buy,Buy,Buy,Sell,Buy,Buy
ZLN12,"Soybean Oil",53.57,0,0.00%,Hold,Buy,Buy,Sell,Buy,Buy,Buy
ZLK12,"Soybean Oil",50.8,0,0.00%,Sell,Sell,Sell,Buy,Sell,Sell,Sell
ZLH12,"Soybean Oil",54.51,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLF12,"Soybean Oil",50.2,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLZ11,"Soybean Oil",48.58,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLV11,"Soybean Oil",53.2,0,0.00%,Sell,Buy,Sell,Sell,Sell,Sell,Sell
ZLU11,"Soybean Oil",56.75,0,0.00%,Sell,Sell,Buy,Sell,Buy,Hold,Sell
ZLQ11,"Soybean Oil",54.6,0,0.00%,Sell,Sell,Sell,Buy,Sell,Sell,Sell
ZLN11,"Soybean Oil",57.45,0,0.00%,Hold,Buy,Buy,Sell,Sell,Buy,Buy
ZLK11,"Soybean Oil",55.75,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLH11,"Soybean Oil",55.27,0,0.00%,Buy,Sell,Sell,Buy,Buy,Sell,Sell
ZLF11,"Soybean Oil",56.7,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLZ10,"Soybean Oil",54.8,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLV10,"Soybean Oil",47.35,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLU10,"Soybean Oil",41.2,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLQ10,"Soybean Oil",41.8,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLN10,"Soybean Oil",38.05,0,0.00%,Sell,Buy,Buy,Sell,Sell,Buy,Buy
ZLK10,"Soybean Oil",37.17,0,0.00%,Sell,Sell,Sell,Buy,Sell,Sell,Sell
ZLH10,"Soybean Oil",39.05,0,0.00%,Hold,Sell,Buy,Buy,Buy,Buy,Hold
ZLF10,"Soybean Oil",37.8,0,0.00%,Buy,Sell,Sell,Buy,Buy,Sell,Sell
ZLZ09,"Soybean Oil",39.4,0,0.00%,Buy,Sell,Buy,Buy,Buy,Buy,Buy
ZLV09,"Soybean Oil",35.95,0,0.00%,Hold,Buy,Buy,Sell,Sell,Buy,Buy
ZLU09,"Soybean Oil",33.15,0,0.00%,Sell,Sell,Sell,Buy,Sell,Sell,Sell
ZLQ09,"Soybean Oil",37.18,0,0.00%,Hold,Buy,Buy,Sell,Buy,Buy,Buy
ZLN09,"Soybean Oil",33.65,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLK09,"Soybean Oil",38.6,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLH09,"Soybean Oil",29.8,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLF09,"Soybean Oil",34,0,0.00%,Sell,Buy,Sell,Sell,Buy,Buy,Hold
ZLZ08,"Soybean Oil",31.1,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLV08,"Soybean Oil",38.4,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLU08,"Soybean Oil",47.15,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLQ08,"Soybean Oil",51.25,0,0.00%,Sell,Sell,Sell,Buy,Sell,Sell,Sell
ZLN08,"Soybean Oil",63.63,0,0.00%,Buy,Sell,Buy,Buy,Buy,Buy,Buy
ZLK08,"Soybean Oil",60.91,0,0.00%,Buy,Buy,Buy,Buy,Sell,Buy,Buy
ZLH08,"Soybean Oil",60,0,0.00%,Buy,Sell,Buy,Buy,Buy,Buy,Buy
ZLF08,"Soybean Oil",53.15,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLZ07,"Soybean Oil",45.85,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLV07,"Soybean Oil",39.38,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLU07,"Soybean Oil",39.37,0,0.00%,Buy,Buy,Buy,Sell,Buy,Buy,Buy
