Time,Open,High,Low,Last,Change,%Change,Volume
2019-11-01,4.01811,4.01837,3.96988,3.98881,-0.02939,-0.73%,4322
2019-10-31,3.98704,4.03301,3.96769,4.0182,0.03141,+0.79%,4340
2019-10-30,3.99931,4.02914,3.98183,3.98679,-0.01261,-0.32%,3834
2019-10-29,3.99062,4.00149,3.98468,3.9994,0.00881,+0.22%,3968
2019-10-28,4.00308,4.00537,3.97373,3.99059,-0.01383,-0.35%,4011
2019-10-25,4.03975,4.04059,3.99298,4.00442,-0.03521,-0.87%,3877
2019-10-24,4.03462,4.04263,3.99927,4.03963,0.00491,+0.12%,3814
2019-10-23,4.08209,4.08836,4.02865,4.03472,-0.04766,-1.17%,4129
2019-10-22,4.1278,4.12915,4.06202,4.08238,-0.04543,-1.10%,3012
2019-10-21,4.11256,4.14897,4.10996,4.12781,0.01513,+0.37%,3561
2019-10-18,4.16492,4.16492,4.11093,4.11268,-0.05234,-1.26%,2255
2019-10-17,4.15033,4.17622,4.12699,4.16502,0.01491,+0.36%,3106
2019-10-16,4.17731,4.18269,4.1465,4.15011,-0.02712,-0.65%,3774
2019-10-15,4.1255,4.17763,4.12166,4.17723,0.05173,+1.25%,3614
2019-10-14,4.10696,4.13514,4.10463,4.1255,0.01866,+0.45%,3370
2019-10-11,4.10663,4.12225,4.08213,4.10684,0.00024,+0.01%,3861
2019-10-10,4.10813,4.13242,4.09066,4.1066,-0.00155,-0.04%,3456
2019-10-09,4.0938,4.10853,4.07204,4.10815,0.01436,+0.35%,3419
2019-10-08,4.10479,4.1059,4.07449,4.09379,-0.01098,-0.27%,3427
2019-10-07,4.05531,4.10477,4.05314,4.10477,0.0495,+1.22%,3670
2019-10-04,4.08092,4.08448,4.05042,4.05527,-0.02571,-0.63%,3563
2019-10-03,4.12935,4.12935,4.07438,4.08098,-0.04839,-1.17%,3286
2019-10-02,4.15731,4.17306,4.1282,4.12937,-0.0279,-0.67%,3042
2019-10-01,4.15525,4.18212,4.15246,4.15727,0.00196,+0.05%,3880
2019-09-30,4.15641,4.16834,4.14337,4.15531,-0.00104,-0.03%,4649
2019-09-27,4.16797,4.17094,4.14505,4.15635,-0.01165,-0.28%,7211
2019-09-26,4.14632,4.16896,4.12187,4.168,0.0217,+0.52%,7349
2019-09-25,4.16281,4.19273,4.14563,4.1463,-0.0165,-0.40%,7041
2019-09-24,4.16435,4.17985,4.15454,4.1628,-0.00159,-0.04%,6633
2019-09-23,4.1469,4.18211,4.14489,4.16439,0.01763,+0.43%,7290
2019-09-20,4.16594,4.18121,4.14676,4.14676,-0.01917,-0.46%,5993
2019-09-19,4.10933,4.16593,4.10769,4.16593,0.05664,+1.38%,5934
2019-09-18,4.07512,4.10999,4.07285,4.10929,0.03415,+0.84%,8047
2019-09-17,4.07776,4.11452,4.07384,4.07514,-0.0025,-0.06%,6729
2019-09-16,4.08414,4.10376,4.07643,4.07764,-0.00649,-0.16%,7206
2019-09-13,4.06206,4.09249,4.04577,4.08413,0.02181,+0.54%,7788
