Time,Open,High,Low,Last,Change,%Change,Volume
2008-02-20,7.1444,7.1444,7.134,7.14,-0.0155,-0.22%,0
2008-02-19,7.1555,7.1555,7.14,7.1555,-0.0135,-0.19%,0
2008-02-18,7.169,7.169,7.1525,7.169,-0.01,-0.14%,0
2008-02-15,7.179,7.179,7.149,7.179,-0.0087,-0.12%,0
2008-02-14,7.1877,7.1877,7.179,7.1877,0.0077,+0.11%,0
2008-02-13,7.18,7.2,7.1765,7.18,-0.002,-0.03%,0
2008-02-12,7.182,7.182,7.18,7.182,0.0024,+0.03%,0
2008-02-11,7.182,7.182,7.1796,7.1796,0,0.00%,0
2008-02-08,7.1796,7.1796,7.1696,7.1796,0,0.00%,0
2008-02-07,7.1796,7.1796,7.1796,7.1796,0.0046,+0.06%,0
2008-02-06,7.175,7.1796,7.175,7.175,-0.0069,-0.10%,0
2008-02-05,7.1819,7.1819,7.175,7.1819,0.0089,+0.12%,0
2008-02-04,7.1738,7.1819,7.173,7.173,0,0.00%,0
2008-02-01,7.1737,7.1737,7.143,7.173,-0.008,-0.11%,0
2008-01-31,7.181,7.181,7.143,7.181,-0.0039,-0.05%,0
2008-01-30,7.1849,7.1849,7.171,7.1849,-0.0018,-0.03%,0
2008-01-29,7.1867,7.1867,7.1749,7.1867,-0.0158,-0.22%,0
2008-01-28,7.2025,7.2025,7.1855,7.2025,-0.0105,-0.15%,0
2008-01-25,7.213,7.213,7.1984,7.213,-0.009,-0.12%,0
2008-01-24,7.222,7.222,7.203,7.222,-0.0072,-0.10%,0
2008-01-23,7.2292,7.2292,7.222,7.2292,-0.0018,-0.02%,0
2008-01-22,7.231,7.231,7.2092,7.231,-0.0013,-0.02%,0
2008-01-21,7.2323,7.2345,7.2265,7.2323,-0.0063,-0.09%,0
2008-01-18,7.2386,7.2392,7.2215,7.2386,0.0162,+0.22%,0
2008-01-17,7.2412,7.2412,7.2224,7.2224,-0.0097,-0.13%,0
2008-01-16,7.2321,7.2321,7.215,7.2321,-0.0104,-0.14%,0
2008-01-15,7.2425,7.2425,7.2121,7.2425,-0.01,-0.14%,0
2008-01-14,7.2525,7.2525,7.242,7.2525,-0.0083,-0.11%,0
2008-01-11,7.2608,7.2608,7.2425,7.2608,0.007,+0.10%,0
2008-01-10,7.256,7.2608,7.2508,7.2538,0.0003,0.00%,0
2008-01-09,7.2538,7.2538,7.2535,7.2535,-0.0043,-0.06%,0
2008-01-08,7.264,7.2691,7.2435,7.2578,-0.0052,-0.07%,0
2008-01-07,7.263,7.263,7.254,7.263,0.0001,0.00%,0
2008-01-04,7.2679,7.2679,7.253,7.2629,-0.0223,-0.31%,0
2008-01-03,7.2845,7.2852,7.2629,7.2852,-0.0089,-0.12%,0
2008-01-02,7.2941,7.2941,7.2752,7.2941,0,0.00%,0
2007-12-31,7.2941,7.2941,7.2941,7.2941,-0.0114,-0.16%,0
2007-12-28,7.3055,7.3055,7.2941,7.3055,-0.0495,-0.67%,0
2007-12-27,7.3288,7.355,7.3055,7.355,0,0.00%,0
2007-12-26,7.355,7.355,7.355,7.355,0,0.00%,0
2007-12-24,7.355,7.355,7.355,7.355,-0.0033,-0.04%,0
2007-12-21,7.3585,7.3585,7.345,7.3583,-0.0087,-0.12%,0
2007-12-20,7.367,7.367,7.3483,7.367,-0.008,-0.11%,0
2007-12-19,7.375,7.375,7.367,7.375,0.0054,+0.07%,0
2007-12-18,7.3696,7.3755,7.3696,7.3696,0.0076,+0.10%,0
2007-12-17,7.3676,7.373,7.362,7.362,0.004,+0.05%,0
2007-12-14,7.361,7.362,7.351,7.358,-0.0055,-0.07%,0
2007-12-13,7.3635,7.3635,7.348,7.3635,-0.0071,-0.10%,0
2007-12-12,7.3706,7.3706,7.3635,7.3706,-0.0154,-0.21%,0
2007-12-11,7.386,7.386,7.3706,7.386,-0.007,-0.09%,0
2007-12-10,7.393,7.393,7.381,7.393,-0.0105,-0.14%,0
2007-12-07,7.4035,7.4035,7.363,7.4035,0.0202,+0.27%,0
2007-12-06,7.399,7.4035,7.3833,7.3833,-0.0047,-0.06%,0
2007-12-05,7.388,7.388,7.376,7.388,-0.0045,-0.06%,0
2007-12-04,7.3925,7.3925,7.388,7.3925,0.0045,+0.06%,0
2007-12-03,7.388,7.3955,7.388,7.388,0.016,+0.22%,0
2007-11-30,7.3721,7.388,7.372,7.372,-0.013,-0.18%,0
2007-11-29,7.385,7.385,7.371,7.385,0.0077,+0.10%,0
2007-11-28,7.385,7.392,7.3773,7.3773,-0.0096,-0.13%,0
2007-11-27,7.3869,7.3869,7.3673,7.3869,-0.0024,-0.03%,0
2007-11-26,7.3915,7.3915,7.3869,7.3893,-0.0117,-0.16%,0
2007-11-23,7.401,7.401,7.3886,7.401,0,0.00%,0
2007-11-22,7.401,7.401,7.401,7.401,-0.0143,-0.19%,0
2007-11-21,7.4153,7.4153,7.401,7.4153,0.0008,+0.01%,0
2007-11-20,7.4145,7.4153,7.4053,7.4145,0.001,+0.01%,0
2007-11-19,7.4135,7.4145,7.4135,7.4135,0.0015,+0.02%,0
2007-11-16,7.4135,7.4135,7.412,7.412,-0.005,-0.07%,0
2007-11-15,7.417,7.4195,7.402,7.417,-0.0065,-0.09%,0
2007-11-14,7.4235,7.4285,7.417,7.4235,0,0.00%,0
2007-11-13,7.4135,7.4235,7.402,7.4235,0.0224,+0.30%,0
2007-11-12,7.402,7.402,7.4011,7.4011,-0.0097,-0.13%,0
2007-11-09,7.4108,7.4108,7.401,7.4108,-0.022,-0.30%,0
2007-11-08,7.4308,7.4328,7.4108,7.4328,-0.0129,-0.17%,0
2007-11-07,7.4457,7.4457,7.4328,7.4457,0.0019,+0.03%,0
2007-11-06,7.4457,7.4457,7.4438,7.4438,-0.0017,-0.02%,0
2007-11-05,7.4455,7.4455,7.4438,7.4455,-0.0055,-0.07%,0
2007-11-02,7.451,7.451,7.4355,7.451,-0.0105,-0.14%,0
2007-11-01,7.4615,7.4615,7.4425,7.4615,0,0.00%,0
2007-10-31,7.4615,7.4615,7.454,7.4615,-0.0033,-0.04%,0
2007-10-30,7.4648,7.4648,7.4515,7.4648,-0.0127,-0.17%,0
2007-10-29,7.4775,7.4775,7.4648,7.4775,0.0052,+0.07%,0
2007-10-26,7.4775,7.4775,7.4723,7.4723,-0.0115,-0.15%,0
2007-10-25,7.4838,7.4838,7.4723,7.4838,-0.0115,-0.15%,0
2007-10-24,7.4953,7.4953,7.4832,7.4953,-0.0052,-0.07%,0
2007-10-23,7.5005,7.5005,7.4953,7.5005,0.0022,+0.03%,0
2007-10-22,7.5005,7.5005,7.4983,7.4983,-0.003,-0.04%,0
2007-10-19,7.5013,7.5013,7.4983,7.5013,-0.005,-0.07%,0
