Time,Open,High,Low,Last,Change,%Change,Volume
2024-02-22,4.7976,4.7976,4.7757,4.7844,-0.0137,-0.29%,61
2024-02-21,4.7833,4.7989,4.7833,4.7981,0.0155,+0.32%,73
2024-02-20,4.7822,4.7917,4.78,4.7826,0.0009,+0.02%,21
2024-02-19,4.7802,4.7817,4.7795,4.7817,0.0013,+0.03%,25
2024-02-16,4.7845,4.7845,4.7782,4.7804,-0.0046,-0.10%,34
2024-02-15,4.7694,4.7855,4.7694,4.785,0.0163,+0.34%,41
2024-02-14,4.7653,4.7799,4.7653,4.7687,0.0035,+0.07%,23
2024-02-13,4.7655,4.7661,4.7645,4.7652,-0.0006,-0.01%,36
2024-02-12,4.7693,4.7693,4.765,4.7658,-0.0038,-0.08%,7
2024-02-09,4.7639,4.7775,4.7639,4.7696,0.0069,+0.14%,50
2024-02-08,4.7648,4.7668,4.7615,4.7627,-0.0022,-0.05%,67
2024-02-07,4.7522,4.766,4.7522,4.7649,0.0133,+0.28%,80
2024-02-06,4.75,4.767,4.75,4.7516,0.0036,+0.08%,56
2024-02-05,4.7285,4.764,4.725,4.748,0.0213,+0.45%,50
2024-02-02,4.7288,4.7301,4.7198,4.7267,-0.0025,-0.05%,67
2024-02-01,4.7295,4.7295,4.7292,4.7292,0.0009,+0.02%,3
2024-01-31,4.7331,4.7331,4.728,4.7283,-0.0053,-0.11%,44
2024-01-30,4.7284,4.7345,4.728,4.7336,0.0051,+0.11%,34
2024-01-29,4.7313,4.734,4.7275,4.7285,-0.0027,-0.06%,50
2024-01-26,4.7319,4.735,4.7266,4.7312,-0.0003,-0.01%,81
2024-01-25,4.7315,4.7315,4.7315,4.7315,0.0048,+0.10%,1
2024-01-24,4.7264,4.735,4.7264,4.7267,0.0002,0.00%,80
